teacher_id;course_id
42;32
42;33
42;34
42;35
42;36
42;37
42;38
42;39
42;40
43;32
43;33
43;34
43;35
43;36
43;37
43;38
43;39
43;40
44;32
44;33
44;34
44;35
44;36
44;37
44;38
44;39
44;40
45;32
45;33
45;34
45;35
45;36
45;37
45;38
45;39
45;40
46;32
46;33
46;34
46;35
46;36
46;37
46;38
46;39
46;40
48;32
48;33
48;34
48;35
48;36
48;37
48;38
48;39
48;40
49;32
49;33
49;34
49;35
49;36
49;37
49;38
49;39
49;40
50;32
50;33
50;34
50;35
50;36
50;37
50;38
50;39
50;40
51;32
51;33
51;34
51;35
51;36
51;37
51;38
51;39
51;40
